,Banyo Sayısı,Bina Yaşı,Brüt Metrekare,Cinsi,Dairenin Katı,Depozito,Eşya Durumu,Isıtma,Kat Sayısı,Kategori,Kullanım Durumu,Net Metrekare,Oda Sayısı,Salon Metrekare,Site İçerisinde,Takas,Türü,WC Sayısı,Yapı Durumu,Yapı Tipi,İlan Numarası,İlan Tarihi,district,county,Title,price
35862,-,-,130m,,-,-,-,-,3,Kiralık,-,130m,-,22 m,Hayır,-,Daire,-,-,-,6607107,01.02.2019,Erenköy Mahallesi',Kepez,Erenköy mh  2+1 130 m2 sıfır ters dubleks kiralık daire,750 TL
35863,-,-,95m,,-,-,-,-,3,Kiralık,-,95m,-,22 m,Hayır,-,Daire,-,-,-,6607021,01.02.2019,Erenköy Mahallesi',Kepez,Kepez erenköy mh  2+1 95m2 asansörlü sıfır kiralık daire,800 TL
35864,3,4,200m,,Bahçe dublex,-,-,Klimalı,3,Kiralık,Kiracı Oturuyor,200m,4+1,-,Hayır,-,Daire,3,İkinci El,Betonarme,6352444,01.02.2019,Ilıca Mahallesi',Manavgat,Manavgat ılıca da kiralık 4+1 lüks eşyalı daire,1.900 TL
35865,-,-,95m,,-,1500 TRY,-,-,5,Kiralık,-,95m,-,45 m,Hayır,-,Daire,-,-,-,6605212,02.02.2019,Sarısu Mahallesi',Konyaaltı,Konyaaltı sarısuda esyalı kıralık 2+1 arakatta daıre havuzlu,1.500 TL
35866,-,-,55m,,-,1100 TRY,-,-,4,Kiralık,-,55m,-,-,Hayır,-,Daire,-,-,-,6185224,01.02.2019,Kültür Mahallesi',Kepez,Ahatlı kültürde 2+0 arakat daire full eşyalı,1.100 TL
35867,2,5-10,150m,,3. Kat,2400 TRY,-,Kombi Doğalgaz,9,Kiralık,Boş,140m,3+1,-,Hayır,-,Daire,-,-,-,6835994,31.01.2019,Liman Mahallesi',Konyaaltı,Limanda full eşyalı 3 +1 kiralık daire,2.400 TL
35868,-,-,155m,,-,-,-,-,3,Kiralık,-,140m,-,15 m,Hayır,-,Daire,-,-,-,6744804,31.01.2019,Konuksever Mahallesi',Muratpaşa,Muratpaşa konukseverde 3+1 155m2 kiralik daire avm den,850 TL
35869,1,5-10,100m,,-,2000 TRY,-,Klimalı,4,Kiralık,Boş,90m,2+1,-,Hayır,-,Daire,-,-,-,6861257,31.01.2019,Liman Mahallesi',Konyaaltı,Limanda full eşyalı 2+1 katta kiralık daire,2.000 TL
35870,-,-,65m,,-,1000 TRY,-,-,1,Kiralık,-,55m,-,20 m,Hayır,-,Daire,-,-,-,6860841,30.01.2019,Güzeloba Mahallesi',Muratpaşa,Glc den güzeloba katta 1+1 havuzlu g/d cephe ferah şık daire,980 TL
35871,1,5-10,80m,,2. Kat,1000 TRY,-,Klimalı,4,Kiralık,Boş,70m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6860070,30.01.2019,Liman Mahallesi',Konyaaltı,Atrıum dan liman da denize yakın geniş 1+1 havuzlu sitede daire,1.000 TL
35872,-,-,110m,,-,1500 TRY,-,-,4,Kiralık,-,100m,-,10 m,Hayır,-,Daire,-,-,-,6859690,31.01.2019,Arapsuyu Mahallesi',Konyaaltı,Eşyalııııı denize 150 metre mesafede 2+1 full daire,1.500 TL
35873,-,-,150m,,-,1300 TRY,-,-,2,Kiralık,-,150m,-,30 m,Hayır,-,Daire,-,-,-,6600684,02.02.2019,Kadriye Mahallesi',Serik,Kadriye eşyalı kiralık 3+1 havuzlu bahçeli villa aidatsız site,1.300 TL
35874,1,4,90m,,Düz giriş,2000 TRY,-,Klimalı,4,Kiralık,Boş,85m,2+1,-,Hayır,-,Daire,-,-,-,6855042,31.01.2019,Hurma Mahallesi',Konyaaltı,Hurmada güvenlikli lüks havuzlu sitede eşyalı kiralık 2+1 daire,1.700 TL
35875,-,-,135m,,-,850 TRY,-,-,3,Kiralık,-,135m,-,30 m,Hayır,-,Daire,-,-,-,6599749,01.02.2019,Dutlubahçe Mahallesi',Muratpaşa,Dutlubahçe mahallesi öğrenci yurdu yakını 3+1 kiralık daire,850 TL
35876,-,-,50m,,-,1200 TRY,-,-,3,Kiralık,-,50m,-,15 m,Hayır,-,Daire,-,-,-,6599439,01.02.2019,Kültür Mahallesi',Kepez,Antalya kepez kültür cafeler caddesinde  lüx eşyalı,1.200 TL
35877,-,-,55m,,-,1100 TRY,-,-,3,Kiralık,-,55m,-,-,Hayır,-,Daire,-,-,-,6597478,31.01.2019,Güzeloba Mahallesi',Muratpaşa,N10 dan lara plajlarına çok yakın site içinde 1+1 eşyalı daire,1.100 TL
35878,1,5-10,105m,,1. Kat,-,-,Klimalı,4,Kiralık,Boş,105m,2+1,-,Hayır,-,Daire,-,-,-,6340983,01.02.2019,Kızıltoprak Mahallesi',Muratpaşa,Kızıltoprakta ferah önü açık 2+1 daire,1.000 TL
35879,1,0 (Yeni),100m,,Bahçe katı,1750 TRY,-,Klimalı,4,Kiralık,Boş,80m,1+1,-,Hayır,Yok,Daire,2,Sıfır,Betonarme,6853798,31.01.2019,Çağlayan Mahallesi',Muratpaşa,Lara çağlayanda havuzlu sitede kiralık 1+1 ters dubleks daire,1.750 TL
35880,-,-,85m,,-,650 TRY,-,-,7,Kiralık,-,85m,-,-,Hayır,-,Daire,-,-,-,6595513,01.02.2019,Hüsnü Karakaş Mahallesi',Kepez,Ultura luxs guvenlikli havuzlu yuksek zemin daire,650 TL
35881,1,5-10,90m,,3. Kat,-,-,Klimalı,4,Kiralık,Boş,80m,2+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6595499,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurma site içi full eşyalı ara kat 2+1,1.750 TL
35882,2,5-10,110m,,1. Kat,-,-,Klimalı,5,Kiralık,Boş,130m,2+1,-,Hayır,-,Daire,-,-,-,6853470,31.01.2019,Oba Mahallesi',Alanya,Alanya  obada  kiralık  ultra  lüks  2+1  site  içersinde  daire,1.750 TL
35883,2,5-10,110m,,1. Kat,-,-,Klimalı,5,Kiralık,Boş,120m,2+1,-,Hayır,-,Daire,-,-,-,6853546,31.01.2019,Oba Mahallesi',Alanya,Kiralık  ultra  lüks  2+1  full  eşyalı  site  içersinde  daire,1.750 TL
35884,-,-,120m,,-,1000 TRY,-,-,9,Kiralık,-,120m,-,-,Hayır,-,Daire,-,-,-,6595139,01.02.2019,Güneş Mahallesi',Kepez,3+1 120 m2,750 TL
35885,2,11-20,300m,,Villa tipi,3500 TRY,-,Isıtma yok,3,Kiralık,Boş,270m,5+1,-,Evet,Yok,Daire,2,İkinci El,Betonarme,6853008,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Antalya lara güzeloba da  havuzlu  site içersinde kiralık triplex,3.500 TL
35886,2,11-20,300m,,4. Kat,2000 TRY,-,Klimalı,4,Kiralık,Boş,300m,5+2,-,Hayır,-,Daire,3,İkinci El,Betonarme,6593930,01.02.2019,Şirinyalı Mahallesi',Muratpaşa,Lara şirinyalıda 5+2 dubleks,2.000 TL
35887,-,-,65m,,-,1500 TRY,-,-,3,Kiralık,-,60m,-,-,Hayır,-,Daire,-,-,-,6849989,30.01.2019,Fener Mahallesi',Muratpaşa,Terracity arkası eşyalı çatı katı 1+1,1.500 TL
35888,-,-,135m,,-,800 TRY,-,-,4,Kiralık,-,135m,-,-,Hayır,-,Daire,-,-,-,6590533,01.02.2019,Altındağ Mahallesi',Muratpaşa,Altındağ kiralık daire 3+1 07beyaz emlak tan,800 TL
35889,1,4,75m,,1. Kat,850 TRY,-,Klimalı,4,Kiralık,Boş,65m,1+1,-,Hayır,-,Daire,1,İkinci El,Betonarme,6848501,31.01.2019,Hurma Mahallesi',Konyaaltı,Antalya hurma mahallesinde temiz 1+1 65 m2 kiralık katta daire,850 TL
35890,1,5-10,110m,,Yüksek giriş,-,-,Klimalı,5,Kiralık,Boş,100m,2+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6845780,31.01.2019,Gürsu Mahallesi',Konyaaltı,Gürsuda jadeden ayrı mutfaklı geniş balkonlu 2+1 ygiriş k008566,1.100 TL
35891,-,-,160m,,-,6000 TRY,-,-,10,Kiralık,-,160m,-,40 m,Hayır,-,Daire,-,-,-,6589286,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Larada muhteşem deniz manzaralı ultra lüks sitede kiralık daire,6.000 TL
35892,1,5-10,115m,,3. Kat,1200 TRY,-,Isıtma yok,3,Kiralık,Boş,95m,2+1,-,Hayır,-,Daire,-,Sıfır,-,6846065,31.01.2019,Gündoğdu Mahallesi',Kepez,Karatay  bölgesinde  emsallerinden  çok  geniş  katta  2+1  daire,600 TL
35893,2,4,180m,,Çatı Dubleks,750 TRY,-,Klimalı,4,Kiralık,Boş,140m,3+1,-,Hayır,-,Daire,-,İkinci El,Betonarme,6846060,31.01.2019,Kuzeyyaka Mahallesi',Kepez,Kuzeyyaka  da  güney  cepheli  dublex,750 TL
35894,1,5-10,70m,,2. Kat,-,-,Klimalı,3,Kiralık,Boş,70m,1+1,-,Hayır,-,Daire,-,-,-,6584526,02.02.2019,Side Mahallesi',Manavgat,Huzur emlaktan sidede mart ayına kadar kiralık eşyalı 1+1 daire,950 TL
35895,1,3,105m,,2. Kat,750 TRY,-,Güneş Enerjisi,6,Kiralık,Boş,95m,2+1,23 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6073138,31.01.2019,Göksu Mahallesi',Kepez,Göksu mahallesinde kiralık 2+1 ayrı mutfak daire,750 TL
35896,1,3,100m,,1. Kat,750 TRY,-,Güneş Enerjisi,6,Kiralık,Boş,94m,2+1,26 m,Hayır,-,Daire,2,İkinci El,Betonarme,6161591,31.01.2019,Göksu Mahallesi',Kepez,Göksu  mahallesinde  site  içerisinde  2+1  ayrı  mutfak  arakat,750 TL
35897,-,-,90m,,-,-,-,-,3,Kiralık,-,90m,-,-,Hayır,-,Daire,-,-,-,6327162,02.02.2019,Side Mahallesi',Manavgat,Burak emlak tan kiralık daire,1.000 TL
35898,1,2,60m,,Yüksek giriş,-,-,Klimalı,3,Kiralık,Boş,50m,1+1,25 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6586167,02.02.2019,Ahatlı Mahallesi',Kepez,Prestij den antalya ahatlı mah kiralık 1+1 full eşyalı daire,1.100 TL
35899,-,-,100m,,-,3000 TRY,-,-,4,Kiralık,-,100m,-,-,Hayır,-,Daire,-,-,-,6585473,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda havuzlu 2+1 eşyalı kiralık daire,1.500 TL
35900,-,-,75m,,-,1500 TRY,-,-,5,Kiralık,-,60m,-,10 m,Hayır,-,Daire,-,-,-,6838289,31.01.2019,Liman Mahallesi',Konyaaltı,Liman da site içi ara kat full eşyalı sorunsuz temiz yeni daire,1.500 TL
35901,2,5-10,240m,,2. Kat,4300 TRY,-,Kombi Doğalgaz,4,Kiralık,Boş,200m,4+1,-,Hayır,Yok,Daire,2,Sıfır,Betonarme,6837266,31.01.2019,Uluç Mahallesi',Konyaaltı,24 saat güvenlik kapalı otopark havuz klima doğalgaz 4+1,4.300 TL
35902,1,5-10,120m,,Yüksek giriş,600 TRY,-,Isıtma yok,4,Kiralık,Boş,95m,2+1,-,Hayır,-,Daire,-,-,-,6835757,31.01.2019,Gündoğdu Mahallesi',Kepez,Karatay  lisesi  yakını  tek  daire  geniş  2+1,600 TL
35903,1,1,100m,,3. Kat,3700 TRY,-,Klimalı,4,Kiralık,Boş,95m,2+1,1 m,Hayır,Yok,Daire,1,Sıfır,Betonarme,5697646,30.01.2019,Liman Mahallesi',Konyaaltı,Liman mahlesinde ultra lüx residance   da 2+1 daire,1.850 TL
35904,-,-,110m,,-,850 TRY,-,-,4,Kiralık,-,100m,-,20 m,Hayır,-,Daire,-,-,-,6831082,31.01.2019,Gebizli Mahallesi',Muratpaşa,Muratpaşa gebizli 2+1 110m2 sıfır kiralik daire,850 TL
35905,1,20 ve üzeri,100m,,Bahçe katı,1500 TRY,-,Klimalı,5,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6831668,31.01.2019,Bahçelievler Mahallesi',Muratpaşa,Pamir cdgiriş kat lüks eşyalı 2+1 1500 tl,1.500 TL
35906,3,2,185m,,Bahçe katı,-,-,Kombi Doğalgaz,8,Kiralık,Kiracı Oturuyor,185m,3+1,-,Hayır,-,Daire,-,-,-,6306350,01.02.2019,Liman Mahallesi',Konyaaltı,Denize sıfır 3+1 ultralüx mobilyalı residence,9.000 TL
35907,1,4,65m,,4. Kat,1400 TRY,-,Klimalı,8,Kiralık,Boş,60m,1+1,-,Hayır,Yok,Daire,-,Sıfır,Betonarme,6583814,01.02.2019,Mahmutlar Mahallesi',Alanya,Alanya mahmutlar da kiralık eşyalı 1+1,1.400 TL
35908,-,-,125m,,-,900 TRY,-,-,5,Kiralık,-,125m,-,-,Hayır,-,Daire,-,-,-,6583928,01.02.2019,Konaklı Mahallesi',Alanya,Alanya konaklı da kiralık 2+1 daire,900 TL
35909,1,3,90m,,1. Kat,-,-,Klimalı,4,Kiralık,Boş,85m,2+1,40 m,Hayır,Yok,Daire,1,-,Betonarme,6305977,01.02.2019,Liman Mahallesi',Konyaaltı,Bilge den  limanda 2+1 full eşyalı 90m2 denize yürüme mesafesinde,2.000 TL
35910,2,11-20,180m,,2. Kat,-,-,Klimalı,3,Kiralık,Boş,165m,4+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6827028,30.01.2019,Çağlayan Mahallesi',Muratpaşa,Fener beyaz dünya yakını kiralık  dubleks,1.950 TL
35911,2,2,120m,,Bahçe katı,2000 TRY,-,Klimalı,2,Kiralık,Boş,102m,2+1,-,Evet,Yok,Daire,2,Sıfır,Betonarme,6823723,31.01.2019,Kemerağzı Mahallesi',Aksu,önder sağlam dan lara kundu da lüks ve eşyalı kiralık 2+1,2.000 TL
35912,1,5-10,150m,,7. Kat,-,-,Klimalı,7,Kiralık,Boş,150m,3+1,-,Hayır,-,Daire,-,-,-,6298049,01.02.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba  da 3+1 kiralık daire,1.200 TL
35913,1,2,60m,,Yüksek giriş,-,-,Klimalı,2,Kiralık,Boş,50m,1+1,-,Hayır,Yok,Daire,1,Sıfır,Betonarme,6820919,31.01.2019,Güzeloba Mahallesi',Muratpaşa,önder sağlam dan güzelobada sıfır eşyalı  lüks kiralık 1+1 daire,2.360 TL
35914,1,0 (Yeni),130m,,1. Kat,-,-,Klimalı,4,Kiralık,Boş,110m,3+1,-,Hayır,Yok,Daire,1,Sıfır,Betonarme,6820734,31.01.2019,Çağlayan Mahallesi',Muratpaşa,önder sağlam dan lara çağlayan da lüks kiralık 3+1 daire,2.500 TL
35915,-,-,85m,,-,750 TRY,-,-,4,Kiralık,-,85m,-,20 m,Hayır,-,Daire,-,-,-,6577786,01.02.2019,Yeni Doğan Mahallesi',Kepez,Antalya kepez yenidoğan mah de katta ayrı mutfak 2+1,750 TL
35916,2,0 (Yeni),140m,,4. Kat,-,-,,5,Kiralık,Boş,,3+1,-,Hayır,-,Daire,-,-,-,6747625,31.01.2019,Fığla Mahallesi',Alanya,Alanya  merkezde  kiralık  ultra  lüks  sıfır  2+1    daire,1.300 TL
35917,1,11-20,30m,,2. Kat,-,-,Klimalı,3,Kiralık,Boş,30m,1,-,Hayır,-,Daire,-,-,-,6468741,02.02.2019,Side Mahallesi',Manavgat,Huzur emlaktan sidede elektrik su kira dahil 750 tl oda,750 TL
35918,1,11-20,35m,,2. Kat,-,-,Isıtma yok,3,Kiralık,Boş,35m,1,-,Hayır,-,Daire,-,-,-,6569958,02.02.2019,Side Mahallesi',Manavgat,Huzur emlaktan aylık 600 ve 750 tl ye kiralık odalar,600 TL
35919,1,11-20,40m,,2. Kat,-,-,Isıtma yok,3,Kiralık,Boş,40m,1,-,Hayır,-,Daire,-,-,-,6488504,02.02.2019,Side Mahallesi',Manavgat,Huzur emlak side kemerde eleksu net dahil 600 oda,600 TL
35920,1,5-10,110m,,1. Kat,-,-,Isıtma yok,4,Kiralık,Boş,95m,2+1,23 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6815663,31.01.2019,Gebizli Mahallesi',Muratpaşa,Gebizli mahallesi termesos bulvarına 100 mt mesafede kiralık 2+1,700 TL
35921,1,11-20,150m,,4. Kat,-,-,Sobalı,5,Kiralık,Boş,120m,3+1,25 m,Hayır,-,Daire,2,-,-,6814466,31.01.2019,Temel Eğitim Mahallesi Mahallesi',Kumluca,Tuder  emlaktan  antalya  kumlucada  kiralık  daire,700 TL
35922,2,5-10,200m,,4. Kat,-,-,Klimalı,5,Kiralık,Boş,200m,3+1,-,Hayır,Yok,Daire,2,Sıfır,Betonarme,6291381,02.02.2019,Oba Mahallesi',Alanya,Deniz manz  obagölde site içi kiralık lüks 200 m2 dubleks 3+1,3.123 TL
35923,1,2,105m,,2. Kat,700 TRY,-,Isıtma yok,4,Kiralık,Boş,95m,2+1,19 m,Hayır,Yok,Daire,2,Sıfır,Betonarme,6815708,31.01.2019,Gebizli Mahallesi',Muratpaşa,Gebizli mahallesinde kiralık sıfır arakat daire,700 TL
35924,2,4,200m,,10. Kat,-,-,Klimalı,11,Kiralık,Boş,190m,3+1,-,Hayır,-,Daire,-,-,-,6808740,31.01.2019,Mahmutlar Mahallesi',Alanya,Alanya mahmutlar da site içerisinde kısmi eşyalı 3+1 dublex daire,1.800 TL
35925,1,11-20,100m,,3. Kat,-,-,Sobalı,3,Kiralık,Boş,100m,2+1,40 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6283741,02.02.2019,Çayyazı Mahallesi',Manavgat,Huzur emlaktan cayyazı selale yolu uzerınde 2+1 kıralık arakat,450 TL
35926,1,11-20,100m,,2. Kat,-,-,Sobalı,3,Kiralık,Boş,100m,2+1,-,Hayır,-,Daire,-,-,-,6432988,02.02.2019,Çayyazı Mahallesi',Manavgat,Huzur emlaktan şelale yolu üzerinde 2+1 kiralık daire,450 TL
35927,1,5-10,100m,,1. Kat,650 TRY,-,Sobalı,3,Kiralık,Boş,85m,2+1,-,Hayır,-,Daire,-,-,-,6810539,31.01.2019,Gündoğdu Mahallesi',Kepez,Kepez kent meydani karşısı katta 2+1 kiralik daire,650 TL
35928,1,4,80m,,5. Kat,-,-,Klimalı,8,Kiralık,Boş,75m,1+1,-,Hayır,-,Daire,-,-,-,6804769,31.01.2019,Mahmutlar Mahallesi',Alanya,Alanya mahmutlar da site içerisinde 1+1 full eşyalı kiralık daire,1.340 TL
35929,1,5-10,140m,,2. Kat,700 TRY,-,Sobalı,5,Kiralık,Boş,115m,3+1,35 m,Hayır,-,Daire,Yok,İkinci El,Betonarme,6806228,31.01.2019,Varsak Karşıyaka Mahallesi',Kepez,Kepezde  muhteşem  genişlikte  katta  3+1  asansörlü  kiralık  da,700 TL
35930,1,11-20,140m,,3. Kat,1100 TRY,Boş,Isıtma yok,4,Kiralık,Boş,135m,3+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6734723,31.01.2019,Siteler Mahallesi',Konyaaltı,Uncalıda ılkokul karsısı 3+1 asansorsuz daıre,1.100 TL
35931,1,11-20,200m,,5. Kat,-,-,Klimalı,5,Kiralık,Boş,200m,2+1,-,Hayır,-,Daire,-,-,-,6281026,01.02.2019,Gençlik Mahallesi',Muratpaşa,Gençlik mahallesinde deniz gören ful eşyalı kiralık daire,2.000 TL
35932,1,5-10,90m,,2. Kat,-,-,Klimalı,2,Kiralık,Boş,90m,2+1,-,Hayır,-,Daire,-,-,-,6282225,01.02.2019,Side Mahallesi',Manavgat,Yalı mahallesinde kiralık eşyalı daire,1.300 TL
35933,-,-,220m,,-,3000 EUR,-,-,3,Kiralık,-,220m,-,65 m,Hayır,-,Daire,-,-,-,6555676,02.02.2019,Kadriye Mahallesi',Serik,Müstakil havuzlu ultra lüks full mobilyalı 3+1 kadriye de villa,24.500 TL
35934,3,4,260m,,4. Kat,-,-,Kombi Doğalgaz,4,Kiralık,Boş,240m,4+1,-,Hayır,-,Daire,-,-,-,6792063,31.01.2019,Uncalı Mahallesi',Konyaaltı,Uncalı da havuzlu güvenlikli 4+1 240m2 dublex,3.300 TL
35935,-,-,90m,,-,-,-,-,3,Kiralık,-,90m,-,-,Hayır,-,Daire,-,-,-,6273962,02.02.2019,Side Mahallesi',Manavgat,Burak emlak tan kiralık eşyalı daire,1.000 TL
35936,1,5-10,140m,,2. Kat,900 TRY,-,Klimalı,7,Kiralık,Boş,130m,2+1,55 m,Evet,Yok,Daire,2,İkinci El,Betonarme,6791755,31.01.2019,Hurma Mahallesi',Konyaaltı,Site içinde ayrı mutfaklı gün ısılı 140 m2 masrafsız 2+1 daire,900 TL
35937,2,3,110m,,6. Kat,-,-,Klimalı,7,Kiralık,Boş,110m,2+1,-,Hayır,-,Daire,2,-,-,6551378,31.01.2019,Cikcilli Mahallesi',Alanya,Another world sitesinde 2+1 eşyalı lüks daire,2.000 TL
35938,-,-,175m,,-,1500 TRY,-,-,4,Kiralık,-,175m,-,-,Hayır,-,Daire,-,-,-,6550804,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurmada havuzlu 4+1 dubleks kiralık daire,1.500 TL
35939,1,3,100m,,3. Kat,2000 TRY,-,Klimalı,4,Kiralık,Boş,95m,2+1,40 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6785980,30.01.2019,Liman Mahallesi',Konyaaltı,Liman mahlesinde ultra lüx residance ta 2+ 1 full eşyalı,2.000 TL
35940,1,0 (Yeni),100m,,2. Kat,2500 TRY,-,Klimalı,4,Kiralık,Boş,90m,2+1,-,Hayır,-,Daire,-,-,-,6784566,31.01.2019,Liman Mahallesi',Konyaaltı,Hurma mahallesinde 2+1 lüx eşyalı kiralık daire aileye uygun,2.500 TL
35941,1,5-10,150m,,1. Kat,-,-,Klimalı,5,Kiralık,Boş,150m,3+1,-,Hayır,-,Daire,2,-,-,6777354,31.01.2019,Hacet Mahallesi',Alanya,Alanya  merkezde  kiralık  full  bakımlı  3+1  daire,1.300 TL
35942,-,-,125m,,-,900 TRY,-,-,5,Kiralık,-,120m,-,15 m,Hayır,-,Daire,-,-,-,6781332,31.01.2019,Gebizli Mahallesi',Muratpaşa,Muratpaşa gebizlide 2+1 125m2 sıfır lüx kiralık daire avm den,900 TL
35943,2,5-10,350m,,Çatı Dubleks,5000 TRY,-,Kombi Doğalgaz,3,Kiralık,Boş,350m,3+2,60 m,Hayır,Yok,Daire,3,İkinci El,Betonarme,6543112,01.02.2019,Toros Mahallesi',Konyaaltı,Konyaaltında kiralık mobilyalı dubleks daire,4.000 TL
35944,2,5-10,200m,,1. Kat,2000 TRY,-,Kombi Doğalgaz,4,Kiralık,Boş,190m,3+1,-,Hayır,-,Daire,-,-,-,6780496,31.01.2019,Liman Mahallesi',Konyaaltı,Liman da denize 400metre d gazlı kiralık 200m2 3+1,2.000 TL
35945,1,11-20,140m,,3. Kat,1200 TRY,-,Isıtma yok,5,Kiralık,Boş,135m,3+1,-,Hayır,-,Daire,-,-,-,6774068,31.01.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı liman mah kiralık 3+1 daire,1.200 TL
35946,1,4,45m,,3. Kat,-,-,Klimalı,3,Kiralık,Kiracı Oturuyor,45m,1+1,25 m,Hayır,Var,Daire,1,İkinci El,Betonarme,6545413,02.02.2019,Gülveren Mahallesi',Kepez,Prestij den antalya gülveren de kiralık 1+1 eşyalı daire,900 TL
35947,-,-,175m,,-,1750 TRY,-,-,4,Kiralık,-,175m,-,-,Hayır,-,Daire,-,-,-,6541898,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda havuzlu 3+1 full eşyalı kiralık dubleks daire,1.750 TL
35948,-,-,80m,,-,700 TRY,-,-,4,Kiralık,-,80m,-,-,Hayır,-,Daire,-,-,-,6540981,01.02.2019,Yeni Doğan Mahallesi',Kepez,Antalya kepez yenidoğan mah de 2+1,700 TL
35949,2,1,250m,,2. Kat,3800 TRY,-,Yerden ısıtma,2,Kiralık,Boş,250m,3+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6538401,01.02.2019,Çıplaklı Mahallesi',Döşemealtı,Antalya döşemealtı çıplaklı site içi ultralux 3+1 villa,3.800 TL
35950,1,2,70m,,1. Kat,2800 TRY,-,Klimalı,4,Kiralık,Boş,65m,1+1,35 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6774474,30.01.2019,Hurma Mahallesi',Konyaaltı,Limanda ultra  lüx residance ta 1+1 kiralık daire,1.400 TL
35951,1,11-20,170m,,1. Kat,-,-,Klimalı,9,Kiralık,Boş,160m,3+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6771592,31.01.2019,Zümrütova Mahallesi',Muratpaşa,Kırcami cadde üzeri tabela değeri yüksek kiralık 3+1 ofis-daire,2.500 TL
35952,2,5-10,185m,,1. Kat,1750 TRY,-,Klimalı,10,Kiralık,Boş,185m,3+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6530323,01.02.2019,Uncalı Mahallesi',Konyaaltı,Konyaaltı uncalı üniversite yakını site içi 3+1,1.750 TL
35953,-,-,85m,,-,700 TRY,-,-,4,Kiralık,-,85m,-,20 m,Hayır,-,Daire,-,-,-,6528525,01.02.2019,Ahatlı Mahallesi',Kepez,Antalya ahatlı mah de çok uygun 2+1,700 TL
35954,1,5-10,90m,,2. Kat,1500 TRY,-,Klimalı,4,Kiralık,Boş,85m,2+1,-,Hayır,-,Daire,-,-,-,6767884,31.01.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda havuzlu sitede kiralık eşyalı 2+1 daire,1.500 TL
35955,1,5-10,60m,,Bahçe katı,1300 TRY,-,Klimalı,4,Kiralık,Boş,55m,1+1,-,Hayır,-,Daire,-,-,-,6766010,31.01.2019,Hurma Mahallesi',Konyaaltı,Hurmada kiralık 1 +1,1.300 TL
35956,1,0 (Yeni),100m,,1. Kat,1700 TRY,-,Klimalı,4,Kiralık,Boş,100m,2+1,-,Hayır,-,Daire,-,-,-,6764341,31.01.2019,Hurma Mahallesi',Konyaaltı,Eşyalı kiralık daire hurma mahallesinde,1.700 TL
35957,2,4,250m,,3. Kat,10000 TRY,-,Klimalı,4,Kiralık,Boş,250m,3+1,-,Hayır,Yok,Daire,3,İkinci El,Betonarme,6577839,31.01.2019,Toros Mahallesi',Konyaaltı,önder sağlam dan konyaaltın da kiralık lüks eşyalı 3+1 daire,10.000 TL
35958,-,-,120m,,-,-,-,-,4,Kiralık,-,115m,-,15 m,Hayır,-,Daire,-,-,-,6756646,31.01.2019,Kızılarık Mahallesi',Muratpaşa,Kızılırmak cadde üstünde kiralık 2+1 120m2 ofis-hom ofis,1.400 TL
35959,1,4,90m,,4. Kat,-,-,Klimalı,4,Kiralık,Boş,90m,2+1,-,Hayır,-,Daire,-,İkinci El,Betonarme,6758399,31.01.2019,Teomanpaşa Mahallesi',Kepez,Yeşilırmak teomanpaşa da 2+1 kiralık daire,800 TL
35960,1,20 ve üzeri,150m,,3. Kat,1000 TRY,-,Isıtma yok,6,Kiralık,Boş,150m,3+1,30 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6752909,31.01.2019,Kızılsaray Mahallesi',Muratpaşa,şafak emlak kiralık 100 yıl aydın kanza parkı yakını 3+1 150 m2,1.000 TL
35961,2,11-20,130m,,2. Kat,-,-,Klimalı,3,Kiralık,Boş,120m,3+1,35 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6755062,02.02.2019,Belek Mahallesi',Serik,Turizm cenneti antalya belek te 3+1 kiralık eşyalı daire,1.600 TL
